"session","bird","n_resp_left","n_resp_right","n_reinf_left","n_reinf_right"
"s126","p054",520,811,4,74
"s127","p054",662,315,65,10
"s128","p054",367,525,7,41
"s129","p054",292,563,8,52
"s130","p054",527,724,21,70
"s131","p054",496,350,42,19
"s132","p054",557,771,14,58
"s133","p054",851,505,56,18
"s134","p054",678,514,62,19
"s135","p054",309,724,8,61
"s136","p054",766,657,68,19
"s137","p054",512,287,50,11
"s138","p054",881,522,65,20
"s139","p054",588,344,40,13
"s140","p054",664,258,48,6
"s141","p054",1109,418,64,9
"s142","p054",410,722,3,58
"s143","p054",428,973,5,73
"s144","p054",245,661,1,55
"s145","p054",190,751,3,53
"s146","p054",955,260,90,6
"s147","p054",339,608,18,64
"s148","p054",719,473,50,27
"s149","p054",285,894,9,87
"s150","p054",181,427,3,42
"s151","p054",142,320,3,43
"s152","p054",980,520,70,9
"s153","p054",821,664,30,56
"s154","p054",549,497,23,46
"s155","p054",494,506,20,41
"s156","p054",848,999,37,63
"s157","p054",415,324,19,32
"s158","p054",627,494,31,40
"s159","p054",505,454,23,33
"s160","p054",812,191,59,5
"s161","p054",675,239,66,4
"s162","p054",523,222,39,3
"s163","p054",618,1045,27,62
"s164","p054",353,579,16,41
"s165","p054",856,341,49,5
"s166","p054",693,159,54,3
"s167","p054",825,203,63,6
"s168","p054",221,706,9,44
"s169","p054",595,534,46,19
"s170","p054",421,1270,6,68
"s171","p054",258,1050,1,79
"s172","p054",630,578,46,19
"s173","p054",600,417,43,16
"s174","p054",845,554,58,16
"s175","p054",241,396,16,32
"s176","p054",561,1014,22,60
"s177","p054",259,538,15,50
"s178","p054",909,536,56,8
"s179","p054",582,836,13,49
"s180","p054",341,685,10,44
"s01","p138",1507,32,36,6
"s02","p138",289,24,30,4
"s03","p138",277,108,31,13
"s04","p138",648,111,64,12
"s05","p138",350,290,43,16
"s06","p138",383,327,46,21
"s07","p138",197,202,30,14
"s08","p138",101,102,16,10
"s09","p138",236,221,52,22
"s10","p138",111,52,26,6
"s11","p138",387,211,55,19
"s12","p138",285,181,34,9
"s13","p138",329,118,41,11
"s14","p138",350,139,36,11
"s15","p138",476,237,42,21
"s16","p138",342,201,30,12
"s17","p138",197,251,10,26
"s18","p138",154,334,12,35
"s19","p138",213,530,8,26
"s20","p138",361,737,20,46
"s21","p138",283,351,9,14
"s22","p138",274,459,8,36
"s23","p138",406,458,18,34
"s24","p138",205,389,5,26
"s25","p138",400,411,6,32
"s26","p138",311,293,15,36
"s27","p138",659,222,40,17
"s28","p138",795,321,61,23
"s29","p138",526,283,48,21
"s30","p138",244,105,19,7
"s31","p138",185,105,21,7
"s32","p138",230,215,30,12
"s33","p138",292,273,55,24
"s34","p138",345,218,46,16
"s35","p138",322,155,38,12
"s36","p138",233,141,26,10
"s37","p138",250,297,14,29
"s38","p138",183,391,18,37
"s39","p138",96,333,6,35
"s40","p138",152,436,10,31
"s41","p138",162,556,15,37
"s42","p138",260,314,16,34
"s43","p138",188,402,15,34
"s44","p138",176,323,13,21
"s45","p138",125,180,8,21
"s46","p138",228,364,20,35
"s47","p138",110,182,5,18
"s48","p138",125,480,13,38
"s49","p138",215,382,13,23
"s50","p138",188,460,14,40
"s51","p138",186,371,12,26
"s52","p138",280,586,11,36
"s53","p138",191,396,12,31
"s54","p138",743,495,66,21
"s55","p138",354,116,32,6
"s56","p138",540,423,44,16
"s57","p138",572,334,46,15
"s58","p138",778,357,66,18
"s59","p138",296,166,40,15
"s60","p138",320,175,52,26
"s61","p138",176,91,20,9
"s62","p138",237,131,39,14
"s63","p138",232,116,43,12
"s64","p138",550,248,61,22
"s65","p138",286,188,42,16
"s66","p138",180,72,23,11
"s67","p138",341,197,43,13
"s68","p138",607,199,45,16
"s69","p138",546,233,62,20
"s70","p138",145,82,23,14
"s71","p138",293,35,41,10
"s72","p138",304,52,24,8
"s73","p138",435,48,36,10
"s74","p138",501,8,56,5
"s75","p138",341,260,30,7
"s76","p138",289,427,16,40
"s77","p138",297,332,15,33
"s78","p138",235,271,10,32
"s79","p138",271,222,16,38
"s80","p138",169,151,7,25
"s81","p138",188,257,17,31
"s82","p138",174,248,10,31
"s83","p138",292,269,17,34
"s84","p138",157,245,5,22
"s85","p138",177,688,7,38
"s86","p138",171,388,7,26
"s87","p138",180,454,11,38
"s88","p138",130,314,13,30
"s89","p138",135,362,11,33
"s90","p138",105,269,6,26
"s91","p138",81,72,17,23
"s92","p138",92,118,13,34
"s93","p138",193,126,12,32
"s94","p138",130,205,10,19
"s95","p138",235,441,11,31
"s96","p138",163,297,15,30
"s97","p138",162,328,12,45
"s98","p138",97,128,8,22
"s99","p138",139,199,16,30
"s100","p138",140,252,12,35
"s101","p138",76,113,12,28
"s102","p138",136,154,15,17
"s103","p138",196,257,24,22
"s104","p138",110,120,15,20
